season_age,pick_group,x18,x19,x20,x21,x22,x23
29,19-30,0.674055924,1.807103348,2.794943213,2.255698307,1.718124524,2.128045734
30,19-30,0.480908146,3.679033146,2.032860049,2.178573782,1.668807066,1.643615828
31,19-30,1.492043621,3.871874725,2.296948481,1.312613898,1.327410059,1.917789575
32,19-30,-0.017738826,3.402056903,2.570849019,1.625911639,1.395045596,1.310050326
33,19-30,-0.002384084,1.945188363,2.06691188,1.316342302,1.039564993,2.341167281
34,19-30,NA,1.548574029,0.911789034,0.723914217,1.717346095,2.063970901
35,19-30,NA,-1.18864936,0.185094648,1.16510728,0.388888395,2.163403833
36,19-30,NA,-0.469319311,0.413604029,1.660279575,0.401640082,2.039994369
37,19-30,NA,NA,-0.016927991,0.23750083,NA,0.862729892
38,19-30,NA,NA,NA,3.555724549,NA,NA
18,31-47,-0.103078375,NA,NA,NA,NA,NA
19,31-47,0.765001877,-0.14328471,NA,NA,NA,NA
20,31-47,2.322368444,0.6502853,0.091550344,NA,NA,NA
21,31-47,3.069232587,1.686795152,0.842451077,0.164310676,NA,NA
22,31-47,2.389596452,2.843211758,1.131804798,0.616042639,0.175005649,NA
23,31-47,3.749528967,3.377103057,1.49159861,1.215355443,0.469515901,0.105999528
24,31-47,4.423173396,4.852852102,2.154186663,1.634354727,1.111264069,0.242247067
25,31-47,3.666340488,2.629059785,3.408201575,2.167901375,2.037474419,0.841435162
26,31-47,3.541101515,3.020061039,2.463040278,1.684467085,1.989018387,0.880421079
27,31-47,7.286770506,3.345458173,2.930612844,1.074412742,2.309691311,0.894272546
28,31-47,6.61518345,3.433685678,2.754173675,1.739605028,1.867146293,0.966131702
29,31-47,5.763667648,2.8442459,0.703912413,2.087617061,1.522750201,0.655644424
30,31-47,3.80275431,2.735929624,0.402795039,1.426488945,2.017170977,0.69650207
31,31-47,1.449359227,2.894540859,-0.491077116,0.641392249,0.949119098,-0.23789948
32,31-47,0.996703945,3.03262728,-1.002563571,0.488097368,0.901438097,0.304409597
33,31-47,1.50836327,1.279025997,NA,2.255181403,1.151022847,0.323924684
34,31-47,NA,0.898264192,NA,3.781334812,-0.309550006,0.163065826
35,31-47,NA,1.849090532,NA,1.625630771,-1.085019207,-0.460218905
36,31-47,NA,NA,NA,NA,-0.954157373,NA
37,31-47,NA,NA,NA,NA,NA,NA
38,31-47,NA,NA,NA,NA,NA,NA
18,48-60,-0.040019212,NA,NA,NA,NA,NA
19,48-60,-0.100773013,-0.338891616,NA,NA,NA,NA
20,48-60,1.097391408,NA,-0.179142877,NA,NA,NA
21,48-60,1.341023706,NA,-0.203359322,-0.011352352,NA,NA
22,48-60,3.010170483,NA,1.371358126,0.159692246,0.054201461,NA
23,48-60,3.425163737,NA,2.73762759,-0.068453215,0.624334297,-0.127179643
24,48-60,1.310911316,NA,6.05224145,-0.129305089,1.040632235,0.065850039
25,48-60,5.871309252,NA,5.712640996,-0.213831149,1.039433003,0.052467147
26,48-60,3.795840669,NA,2.917611139,0.012505701,1.696898378,0.308097205
27,48-60,3.49629554,NA,2.786500388,0.026306305,1.484111746,1.404194485
28,48-60,4.096170543,NA,1.347647439,0.045072077,0.70010787,0.210237381
29,48-60,5.229030211,NA,2.968093416,-0.868206433,0.557726834,-0.205319073
30,48-60,3.419704864,NA,2.696073025,-0.748588822,1.004219198,1.633641237
31,48-60,0.222133018,NA,1.843446429,-0.228539394,1.322470179,-0.859396607
32,48-60,NA,NA,NA,NA,2.119078159,-0.467587336
33,48-60,NA,NA,NA,NA,5.600112233,NA
34,48-60,NA,NA,NA,NA,2.712353078,-0.337450116
35,48-60,NA,NA,NA,NA,-0.19899955,1.431855112
36,48-60,NA,NA,NA,NA,5.147716465,0.780264251
37,48-60,NA,NA,NA,NA,0.971542936,NA
38,48-60,NA,NA,NA,NA,1.625268755,NA
