"player","BBRefID","BBRefBirthDate","season","pos","age","tm","g","gs","mp"
"A.C. Green","greenac01","1963-10-04","1997","PF",33,"DAL",56,54,1944
"A.C. Green","greenac01","1963-10-04","1992","PF",28,"LAL",82,53,2902
"A.C. Green","greenac01","1963-10-04","2001","PF",37,"MIA",82,1,1411
"A.C. Green","greenac01","1963-10-04","1991","PF",27,"LAL",82,21,2164
"A.C. Green","greenac01","1963-10-04","1993","PF",29,"LAL",82,55,2819
"A.C. Green","greenac01","1963-10-04","1997","PF",33,"PHO",27,19,548
"A.C. Green","greenac01","1963-10-04","1996","SF",32,"PHO",82,36,2113
"A.C. Green","greenac01","1963-10-04","1999","PF",35,"DAL",50,35,924
"A.C. Green","greenac01","1963-10-04","1998","PF",34,"DAL",82,68,2649
"A.C. Green","greenac01","1963-10-04","1994","PF",30,"PHO",82,55,2825
"A.C. Green","greenac01","1963-10-04","2000","PF",36,"LAL",82,82,1929
"A.C. Green","greenac01","1963-10-04","1990","PF",26,"LAL",82,82,2709
"A.C. Green","greenac01","1963-10-04","1995","SF",31,"PHO",82,52,2687
"A.J. Bramlett","bramlaj01","1977-01-10","2000","C",23,"CLE",8,0,61
"A.J. English","engliaj01","1967-07-11","1992","SG",24,"WSB",81,6,1665
"A.J. English","engliaj01","1967-07-11","1991","SG",23,"WSB",70,12,1443
"A.J. Guyton","guytoaj01","1978-02-12","2002","PG",23,"CHI",45,6,607
"A.J. Guyton","guytoaj01","1978-02-12","2003","PG",24,"GSW",2,0,9
"A.J. Guyton","guytoaj01","1978-02-12","2001","PG",22,"CHI",33,8,630
"A.J. Hammons","hammoaj01","1992-08-27","2017","C",24,"DAL",22,0,163
"A.J. Price","priceaj01","1986-10-07","2012","PG",25,"IND",44,1,568
"A.J. Price","priceaj01","1986-10-07","2010","PG",23,"IND",56,2,865
"A.J. Price","priceaj01","1986-10-07","2013","PG",26,"WAS",57,22,1278
"A.J. Price","priceaj01","1986-10-07","2015","PG",28,"CLE",11,0,87
"A.J. Price","priceaj01","1986-10-07","2011","PG",24,"IND",50,0,795
"A.J. Price","priceaj01","1986-10-07","2015","PG",28,"PHO",5,0,44
"A.J. Price","priceaj01","1986-10-07","2014","SG",27,"MIN",28,0,99
"A.J. Price","priceaj01","1986-10-07","2015","PG",28,"IND",10,0,193
"A.J. Wynder","wyndeaj01","1964-09-11","1991","PG",26,"BOS",6,0,39
"Aaron Brooks","brookaa01","1985-01-14","2016","PG",31,"CHI",69,0,1108
"Aaron Brooks","brookaa01","1985-01-14","2013","PG",28,"SAC",46,20,959
"Aaron Brooks","brookaa01","1985-01-14","2008","PG",23,"HOU",51,0,608
"Aaron Brooks","brookaa01","1985-01-14","2011","PG",26,"HOU",34,7,811
"Aaron Brooks","brookaa01","1985-01-14","2018","PG",33,"MIN",32,1,189
"Aaron Brooks","brookaa01","1985-01-14","2014","PG",29,"HOU",43,0,716
"Aaron Brooks","brookaa01","1985-01-14","2015","PG",30,"CHI",82,21,1885
"Aaron Brooks","brookaa01","1985-01-14","2013","PG",28,"HOU",7,0,38
"Aaron Brooks","brookaa01","1985-01-14","2014","PG",29,"DEN",29,12,841
"Aaron Brooks","brookaa01","1985-01-14","2010","PG",25,"HOU",82,82,2919
"Aaron Brooks","brookaa01","1985-01-14","2009","PG",24,"HOU",80,35,1998
"Aaron Brooks","brookaa01","1985-01-14","2011","PG",26,"PHO",25,5,473
"Aaron Brooks","brookaa01","1985-01-14","2017","PG",32,"IND",65,0,894
"Aaron Gordon","gordoaa01","1995-09-16","2019","PF",23,"ORL",78,78,2633
"Aaron Gordon","gordoaa01","1995-09-16","2015","PF",19,"ORL",47,8,797
"Aaron Gordon","gordoaa01","1995-09-16","2021","PF",25,"DEN",25,25,648
"Aaron Gordon","gordoaa01","1995-09-16","2017","SF",21,"ORL",80,72,2298
"Aaron Gordon","gordoaa01","1995-09-16","2021","PF",25,"ORL",25,25,736
"Aaron Gordon","gordoaa01","1995-09-16","2020","PF",24,"ORL",62,62,2017
"Aaron Gordon","gordoaa01","1995-09-16","2018","PF",22,"ORL",58,57,1909
"Aaron Gordon","gordoaa01","1995-09-16","2016","PF",20,"ORL",78,37,1863
"Aaron Gray","grayaa01","1984-12-07","2012","C",27,"TOR",49,40,813
"Aaron Gray","grayaa01","1984-12-07","2009","C",24,"CHI",56,18,715
"Aaron Gray","grayaa01","1984-12-07","2013","C",28,"TOR",42,16,513
"Aaron Gray","grayaa01","1984-12-07","2008","C",23,"CHI",61,1,613
"Aaron Gray","grayaa01","1984-12-07","2010","C",25,"CHI",8,0,50
"Aaron Gray","grayaa01","1984-12-07","2010","C",25,"NOH",24,0,261
"Aaron Gray","grayaa01","1984-12-07","2014","C",29,"TOR",4,0,20
"Aaron Gray","grayaa01","1984-12-07","2011","C",26,"NOH",41,6,531
"Aaron Gray","grayaa01","1984-12-07","2014","C",29,"SAC",33,6,335
"Aaron Harrison","harriaa01","1994-10-28","2017","SG",22,"CHO",5,0,17
"Aaron Harrison","harriaa01","1994-10-28","2018","SG",23,"DAL",9,3,233
"Aaron Harrison","harriaa01","1994-10-28","2016","SG",21,"CHO",21,0,93
"Aaron Holiday","holidaa01","1996-09-30","2021","PG",24,"IND",66,8,1176
"Aaron Holiday","holidaa01","1996-09-30","2019","PG",22,"IND",50,0,646
"Aaron Holiday","holidaa01","1996-09-30","2020","PG",23,"IND",66,33,1617
"Aaron Jackson","jacksaa01","1986-05-06","2018","PG",31,"HOU",1,0,35
"Aaron McKie","mckieaa01","1972-10-02","1997","SG",24,"POR",41,8,775
"Aaron McKie","mckieaa01","1972-10-02","1995","SG",22,"POR",45,20,827
"Aaron McKie","mckieaa01","1972-10-02","2000","SG",27,"PHI",82,14,1952
"Aaron McKie","mckieaa01","1972-10-02","2002","SG",29,"PHI",48,16,1471
"Aaron McKie","mckieaa01","1972-10-02","2006","PG",33,"LAL",14,0,121
"Aaron McKie","mckieaa01","1972-10-02","1999","SG",26,"PHI",50,4,959
"Aaron McKie","mckieaa01","1972-10-02","1998","SF",25,"DET",24,1,472
"Aaron McKie","mckieaa01","1972-10-02","1997","SG",24,"DET",42,3,850
"Aaron McKie","mckieaa01","1972-10-02","2001","SG",28,"PHI",76,33,2394
"Aaron McKie","mckieaa01","1972-10-02","2007","SF",34,"LAL",10,0,131
"Aaron McKie","mckieaa01","1972-10-02","2004","SF",31,"PHI",75,41,2112
"Aaron McKie","mckieaa01","1972-10-02","2005","SG",32,"PHI",68,3,1118
"Aaron McKie","mckieaa01","1972-10-02","1998","SG",25,"PHI",57,31,1341
"Aaron McKie","mckieaa01","1972-10-02","2003","SF",30,"PHI",80,40,2374
"Aaron McKie","mckieaa01","1972-10-02","1996","SG",23,"POR",81,73,2259
"Aaron Miles","milesaa01","1983-04-13","2006","PG",22,"GSW",19,0,118
"Aaron Nesmith","nesmiaa01","1999-10-16","2021","SF",21,"BOS",46,1,669
"Aaron Swinson","swinsaa01","1971-01-09","1995","SF",24,"PHO",9,0,51
"Aaron Williams","williaa01","1971-10-02","2003","C",31,"NJN",81,0,1597
"Aaron Williams","williaa01","1971-10-02","1995","PF",23,"MIL",15,0,72
"Aaron Williams","williaa01","1971-10-02","1997","PF",25,"VAN",32,1,553
"Aaron Williams","williaa01","1971-10-02","1998","PF",26,"SEA",65,9,757
"Aaron Williams","williaa01","1971-10-02","2006","C",34,"TOR",14,3,99
"Aaron Williams","williaa01","1971-10-02","2005","C",33,"NJN",19,0,150
"Aaron Williams","williaa01","1971-10-02","2007","PF",35,"LAC",38,7,374
"Aaron Williams","williaa01","1971-10-02","2000","PF",28,"WAS",81,0,1545
"Aaron Williams","williaa01","1971-10-02","2001","PF",29,"NJN",82,25,2336
"Aaron Williams","williaa01","1971-10-02","2005","C",33,"TOR",23,4,165
"Aaron Williams","williaa01","1971-10-02","1997","C",25,"DEN",1,0,10
"Aaron Williams","williaa01","1971-10-02","1999","PF",27,"SEA",40,2,458
"Aaron Williams","williaa01","1971-10-02","2006","C",34,"NOK",34,2,692
"Aaron Williams","williaa01","1971-10-02","1994","PF",22,"UTA",6,0,12
"Aaron Williams","williaa01","1971-10-02","2004","C",32,"NJN",72,7,1337
"Aaron Williams","williaa01","1971-10-02","2008","C",36,"LAC",30,5,297
"Aaron Williams","williaa01","1971-10-02","2002","PF",30,"NJN",82,13,1546
"Abdel Nader","naderab01","1993-09-25","2018","SF",24,"BOS",48,1,522
"Abdel Nader","naderab01","1993-09-25","2021","SF",27,"PHO",24,0,355
"Abdel Nader","naderab01","1993-09-25","2019","SF",25,"OKC",61,1,694
"Abdel Nader","naderab01","1993-09-25","2020","SF",26,"OKC",55,6,867
"Acie Earl","earlac01","1970-06-23","1994","C",23,"BOS",74,8,1149
"Acie Earl","earlac01","1970-06-23","1997","C",26,"TOR",38,0,457
"Acie Earl","earlac01","1970-06-23","1997","C",26,"MIL",9,0,43
"Acie Earl","earlac01","1970-06-23","1995","C",24,"BOS",30,3,208
"Acie Earl","earlac01","1970-06-23","1996","C",25,"TOR",42,7,655
"Acie Law","lawac01","1985-01-25","2010","PG",25,"CHA",9,0,33
"Acie Law","lawac01","1985-01-25","2008","PG",23,"ATL",56,6,865
"Acie Law","lawac01","1985-01-25","2011","PG",26,"MEM",11,0,94
"Acie Law","lawac01","1985-01-25","2010","PG",25,"CHI",12,1,135
"Acie Law","lawac01","1985-01-25","2009","PG",24,"ATL",55,1,560
"Acie Law","lawac01","1985-01-25","2011","PG",26,"GSW",40,0,632
"Acie Law","lawac01","1985-01-25","2010","PG",25,"GSW",5,0,66
"Adam Harrington","harriad01","1980-07-05","2003","SG",22,"DEN",6,0,74
"Adam Harrington","harriad01","1980-07-05","2003","SG",22,"DAL",13,0,37
"Adam Keefe","keefead01","1970-02-22","2000","C",29,"UTA",62,3,604
"Adam Keefe","keefead01","1970-02-22","2001","PF",30,"GSW",67,13,836
"Adam Keefe","keefead01","1970-02-22","1993","PF",22,"ATL",82,6,1549
"Adam Keefe","keefead01","1970-02-22","1994","PF",23,"ATL",63,1,763
"Adam Keefe","keefead01","1970-02-22","1995","SF",24,"UTA",75,0,1270
"Adam Keefe","keefead01","1970-02-22","1999","PF",28,"UTA",44,0,642
"Adam Keefe","keefead01","1970-02-22","1996","PF",25,"UTA",82,0,1708
"Adam Keefe","keefead01","1970-02-22","1998","C",27,"UTA",80,75,2047
"Adam Keefe","keefead01","1970-02-22","1997","C",26,"UTA",62,0,915
"Adam Mokoka","mokokad01","1998-07-18","2020","SF",21,"CHI",11,0,112
"Adam Mokoka","mokokad01","1998-07-18","2021","SG",22,"CHI",14,0,56
"Adam Morrison","morriad01","1984-07-19","2009","SF",24,"LAL",8,0,44
"Adam Morrison","morriad01","1984-07-19","2009","SF",24,"CHA",44,5,667
"Adam Morrison","morriad01","1984-07-19","2007","PF",22,"CHA",78,23,2326
"Adam Morrison","morriad01","1984-07-19","2010","SF",25,"LAL",31,0,241
"Admiral Schofield","schofad01","1997-03-30","2020","PF",22,"WAS",33,2,368
"Adonal Foyle","foylead01","1975-03-09","2007","C",31,"GSW",48,6,475
"Adonal Foyle","foylead01","1975-03-09","2002","C",26,"GSW",79,36,1485
"Adonal Foyle","foylead01","1975-03-09","2001","C",25,"GSW",58,37,1457
"Adonal Foyle","foylead01","1975-03-09","2008","C",32,"ORL",82,0,774
"Adonal Foyle","foylead01","1975-03-09","2009","C",33,"MEM",1,0,3
"Adonal Foyle","foylead01","1975-03-09","2006","C",30,"GSW",77,72,1824
"Adonal Foyle","foylead01","1975-03-09","2000","C",24,"GSW",76,59,1654
"Adonal Foyle","foylead01","1975-03-09","1998","C",22,"GSW",55,1,656
"Adonal Foyle","foylead01","1975-03-09","2005","C",29,"GSW",78,50,1700
"Adonal Foyle","foylead01","1975-03-09","2004","C",28,"GSW",44,8,572
"Adonal Foyle","foylead01","1975-03-09","2003","C",27,"GSW",82,0,1787
"Adonal Foyle","foylead01","1975-03-09","1999","C",23,"GSW",44,0,614
"Adonal Foyle","foylead01","1975-03-09","2009","C",33,"ORL",9,0,59
"Adonis Jordan","jordaad01","1970-08-21","1999","PG",28,"MIL",4,0,18
"Adonis Jordan","jordaad01","1970-08-21","1994","PG",23,"DEN",6,0,79
"Adonis Thomas","thomaad01","1993-03-25","2014","SF",20,"ORL",4,0,24
"Adonis Thomas","thomaad01","1993-03-25","2014","SF",20,"PHI",2,1,13
"Adreian Payne","paynead01","1991-02-19","2015","PF",23,"MIN",29,22,720
"Adreian Payne","paynead01","1991-02-19","2015","PF",23,"ATL",3,0,19
"Adreian Payne","paynead01","1991-02-19","2016","PF",24,"MIN",52,2,486
"Adreian Payne","paynead01","1991-02-19","2018","PF",26,"ORL",5,0,43
"Adreian Payne","paynead01","1991-02-19","2017","PF",25,"MIN",18,0,135
"Adrian Branch","brancad01","1963-11-17","1990","SF",26,"MIN",11,0,91
"Adrian Caldwell","caldwad01","1966-07-04","1997","PF",30,"PHI",27,0,365
"Adrian Caldwell","caldwad01","1966-07-04","1998","PF",31,"DAL",1,0,3
"Adrian Caldwell","caldwad01","1966-07-04","1991","PF",24,"HOU",42,0,343
"Adrian Caldwell","caldwad01","1966-07-04","1996","PF",29,"IND",51,1,327
"Adrian Caldwell","caldwad01","1966-07-04","1990","PF",23,"HOU",51,0,331
"Adrian Caldwell","caldwad01","1966-07-04","1997","PF",30,"NJN",18,0,204
"Adrian Caldwell","caldwad01","1966-07-04","1995","PF",28,"HOU",7,0,30
"Adrian Dantley","dantlad01","1955-02-28","1990","SF",34,"DAL",45,45,1300
"Adrian Dantley","dantlad01","1955-02-28","1991","SF",35,"MIL",10,0,126
"Adrian Griffin","griffad01","1974-07-04","2000","SG",25,"BOS",72,47,1927
"Adrian Griffin","griffad01","1974-07-04","2008","SG",33,"CHI",22,2,222
"Adrian Griffin","griffad01","1974-07-04","2006","SG",31,"DAL",52,45,1245
"Adrian Griffin","griffad01","1974-07-04","2002","SG",27,"DAL",58,34,1383
"Adrian Griffin","griffad01","1974-07-04","2003","SG",28,"DAL",74,48,1373
"Adrian Griffin","griffad01","1974-07-04","2008","SF",33,"SEA",13,0,85
"Adrian Griffin","griffad01","1974-07-04","2007","SF",32,"CHI",54,1,585
"Adrian Griffin","griffad01","1974-07-04","2005","SF",30,"CHI",69,1,667
"Adrian Griffin","griffad01","1974-07-04","2001","SF",26,"BOS",44,0,377
"Adrian Griffin","griffad01","1974-07-04","2004","SG",29,"HOU",19,1,133
"Al Harrington","harrial01","1980-02-17","2004","PF",23,"IND",79,15,2441
"Al Harrington","harrial01","1980-02-17","2003","SF",22,"IND",82,37,2467
"Al Harrington","harrial01","1980-02-17","2006","PF",25,"ATL",76,76,2782
"Al Harrington","harrial01","1980-02-17","1999","PF",18,"IND",21,0,160
"Al Harrington","harrial01","1980-02-17","2009","PF",28,"GSW",5,5,166
"Al Harrington","harrial01","1980-02-17","2013","C",32,"ORL",10,0,119
"Al Harrington","harrial01","1980-02-17","2007","PF",26,"GSW",42,42,1355
"Al Harrington","harrial01","1980-02-17","2000","PF",19,"IND",50,0,854
"Al Harrington","harrial01","1980-02-17","2001","PF",20,"IND",78,38,1892
"Al Harrington","harrial01","1980-02-17","2012","PF",31,"DEN",64,1,1761
"Al Harrington","harrial01","1980-02-17","2007","PF",26,"IND",36,36,1208
"Al Harrington","harrial01","1980-02-17","2014","PF",33,"WAS",34,0,511
"Al Harrington","harrial01","1980-02-17","2002","PF",21,"IND",44,1,1313
"Al Harrington","harrial01","1980-02-17","2008","C",27,"GSW",81,59,2190
"Al Harrington","harrial01","1980-02-17","2011","PF",30,"DEN",73,3,1665
"Al Harrington","harrial01","1980-02-17","2009","PF",28,"NYK",68,51,2380
"Al Harrington","harrial01","1980-02-17","2010","PF",29,"NYK",72,15,2195
"Al Harrington","harrial01","1980-02-17","2005","SF",24,"ATL",66,66,2550
"Al Horford","horfoal01","1986-06-03","2014","C",27,"ATL",29,29,958
"Al Horford","horfoal01","1986-06-03","2015","C",28,"ATL",76,76,2318
"Al Horford","horfoal01","1986-06-03","2011","C",24,"ATL",77,77,2704
"Al Horford","horfoal01","1986-06-03","2009","C",22,"ATL",67,67,2242
"Al Horford","horfoal01","1986-06-03","2008","C",21,"ATL",81,77,2540
"Al Horford","horfoal01","1986-06-03","2020","C",33,"PHI",67,61,2025
"Al Horford","horfoal01","1986-06-03","2018","C",31,"BOS",72,72,2277
"Al Horford","horfoal01","1986-06-03","2019","C",32,"BOS",68,68,1973
"Al Horford","horfoal01","1986-06-03","2016","C",29,"ATL",82,82,2631
"Al Horford","horfoal01","1986-06-03","2021","C",34,"OKC",28,28,782
"Al Horford","horfoal01","1986-06-03","2010","C",23,"ATL",81,81,2845
"Al Horford","horfoal01","1986-06-03","2012","C",25,"ATL",11,11,348
"Al Horford","horfoal01","1986-06-03","2013","C",26,"ATL",74,74,2756
"Al Horford","horfoal01","1986-06-03","2017","C",30,"BOS",68,68,2193
"Al Jefferson","jeffeal01","1985-01-04","2017","C",32,"IND",66,1,931
"Al Jefferson","jeffeal01","1985-01-04","2011","C",26,"UTA",82,82,2940
"Al Jefferson","jeffeal01","1985-01-04","2013","C",28,"UTA",78,78,2578
"Al Jefferson","jeffeal01","1985-01-04","2014","C",29,"CHA",73,73,2553
"Al Jefferson","jeffeal01","1985-01-04","2015","C",30,"CHO",65,61,1992
"Al Jefferson","jeffeal01","1985-01-04","2009","C",24,"MIN",50,50,1836
"Al Jefferson","jeffeal01","1985-01-04","2005","PF",20,"BOS",71,1,1051
"Al Jefferson","jeffeal01","1985-01-04","2012","C",27,"UTA",61,61,2075
"Al Jefferson","jeffeal01","1985-01-04","2008","C",23,"MIN",82,82,2919
"Al Jefferson","jeffeal01","1985-01-04","2010","C",25,"MIN",76,76,2463
"Al Jefferson","jeffeal01","1985-01-04","2018","C",33,"IND",36,1,484
"Al Jefferson","jeffeal01","1985-01-04","2007","C",22,"BOS",69,60,2319
"Al Jefferson","jeffeal01","1985-01-04","2016","C",31,"CHO",47,18,1096
"Al Jefferson","jeffeal01","1985-01-04","2006","PF",21,"BOS",59,7,1062
"Al Thornton","thornal01","1983-12-07","2011","SF",27,"WAS",49,23,1069
"Al Thornton","thornal01","1983-12-07","2010","SF",26,"LAC",51,30,1405
"Al Thornton","thornal01","1983-12-07","2011","PF",27,"GSW",22,0,314
"Al Thornton","thornal01","1983-12-07","2010","SF",26,"WAS",24,16,674
"Al Thornton","thornal01","1983-12-07","2009","SF",25,"LAC",71,67,2654
"Al Thornton","thornal01","1983-12-07","2008","PF",24,"LAC",79,31,2158
"Al-Farouq Aminu","aminual01","1990-09-21","2016","SF",25,"POR",82,82,2341
"Al-Farouq Aminu","aminual01","1990-09-21","2018","PF",27,"POR",69,67,2072
"Al-Farouq Aminu","aminual01","1990-09-21","2017","PF",26,"POR",61,25,1773
"Al-Farouq Aminu","aminual01","1990-09-21","2020","PF",29,"ORL",18,2,380
"Al-Farouq Aminu","aminual01","1990-09-21","2012","SF",21,"NOH",66,21,1477
"Al-Farouq Aminu","aminual01","1990-09-21","2013","SF",22,"NOH",76,71,2066
"Al-Farouq Aminu","aminual01","1990-09-21","2015","SF",24,"DAL",74,3,1366
"Al-Farouq Aminu","aminual01","1990-09-21","2021","PF",30,"ORL",17,14,367
"Al-Farouq Aminu","aminual01","1990-09-21","2011","SF",20,"LAC",81,14,1452
"Al-Farouq Aminu","aminual01","1990-09-21","2014","SF",23,"NOP",80,65,2045
"Al-Farouq Aminu","aminual01","1990-09-21","2021","PF",30,"CHI",6,0,67
"Al-Farouq Aminu","aminual01","1990-09-21","2019","PF",28,"POR",81,81,2292
"Alaa Abdelnaby","abdelal01","1968-06-24","1991","PF",22,"POR",43,0,290
"Alaa Abdelnaby","abdelal01","1968-06-24","1992","PF",23,"POR",71,1,934
"Alaa Abdelnaby","abdelal01","1968-06-24","1995","PF",26,"SAC",51,0,476
"Alaa Abdelnaby","abdelal01","1968-06-24","1995","PF",26,"PHI",3,0,30
"Alaa Abdelnaby","abdelal01","1968-06-24","1993","PF",24,"MIL",12,0,159
"Alaa Abdelnaby","abdelal01","1968-06-24","1993","PF",24,"BOS",63,52,1152
"Alaa Abdelnaby","abdelal01","1968-06-24","1994","PF",25,"BOS",13,0,159
"Alan Anderson","anderal01","1982-10-16","2016","SG",33,"WAS",13,0,192
"Alan Anderson","anderal01","1982-10-16","2015","SG",32,"BRK",74,19,1744
"Alan Anderson","anderal01","1982-10-16","2007","SG",24,"CHA",17,0,256
"Alan Anderson","anderal01","1982-10-16","2013","SF",30,"TOR",65,2,1495
"Alan Anderson","anderal01","1982-10-16","2012","SF",29,"TOR",17,12,461
"Alan Anderson","anderal01","1982-10-16","2017","SF",34,"LAC",30,0,308
"Alan Anderson","anderal01","1982-10-16","2006","SF",23,"CHA",36,7,564
"Alan Anderson","anderal01","1982-10-16","2014","SF",31,"BRK",78,26,1773
"Alan Henderson","hendeal01","1972-12-02","1997","PF",24,"ATL",30,0,501
"Alan Henderson","hendeal01","1972-12-02","2005","PF",32,"DAL",78,10,1203
"Alan Henderson","hendeal01","1972-12-02","2002","PF",29,"ATL",26,1,422
"Alan Henderson","hendeal01","1972-12-02","2004","PF",31,"ATL",6,0,68
"Alan Henderson","hendeal01","1972-12-02","1996","PF",23,"ATL",79,4,1416
"Alan Henderson","hendeal01","1972-12-02","2007","PF",34,"PHI",38,5,418
"Alan Henderson","hendeal01","1972-12-02","2003","C",30,"ATL",82,3,1494
"Alan Henderson","hendeal01","1972-12-02","1999","SF",26,"ATL",38,37,1142
"Alan Henderson","hendeal01","1972-12-02","2001","PF",28,"ATL",73,42,1810
"Alan Henderson","hendeal01","1972-12-02","2000","PF",27,"ATL",82,82,2775
"Alan Henderson","hendeal01","1972-12-02","2006","C",33,"CLE",51,3,531
"Alan Henderson","hendeal01","1972-12-02","1998","PF",25,"ATL",69,33,2000
"Alan Ogg","oggal01","1967-07-05","1992","C",24,"MIA",43,0,367
"Alan Ogg","oggal01","1967-07-05","1993","C",25,"MIL",3,0,26
"Alan Ogg","oggal01","1967-07-05","1993","C",25,"WSB",3,0,3
"Alan Ogg","oggal01","1967-07-05","1991","C",23,"MIA",31,1,261
"Alan Williams","willial03","1993-01-28","2016","PF",23,"PHO",10,0,68
"Alan Williams","willial03","1993-01-28","2018","PF",25,"PHO",5,0,70
"Alan Williams","willial03","1993-01-28","2017","C",24,"PHO",47,0,708
"Alan Williams","willial03","1993-01-28","2019","PF",26,"BRK",5,0,26
"Alando Tucker","tuckeal02","1984-02-11","2008","SF",23,"PHO",6,0,48
"Alando Tucker","tuckeal02","1984-02-11","2010","SF",25,"MIN",4,0,25
"Alando Tucker","tuckeal02","1984-02-11","2009","SG",24,"PHO",30,1,282
"Alando Tucker","tuckeal02","1984-02-11","2010","SF",25,"PHO",11,0,71
"Albert King","kingal01","1959-12-17","1992","SF",32,"WSB",6,0,59
"Alec Burks","burksal01","1991-07-20","2019","SG",27,"SAC",13,0,127
"Alec Burks","burksal01","1991-07-20","2021","SG",29,"NYK",49,5,1255
"Alec Burks","burksal01","1991-07-20","2015","SG",23,"UTA",27,27,899
"Alec Burks","burksal01","1991-07-20","2013","SG",21,"UTA",64,0,1137
"Alec Burks","burksal01","1991-07-20","2019","SG",27,"CLE",34,24,979
"Alec Burks","burksal01","1991-07-20","2018","SG",26,"UTA",64,1,1059
"Alec Burks","burksal01","1991-07-20","2017","SG",25,"UTA",42,0,653
"Alec Burks","burksal01","1991-07-20","2019","SG",27,"UTA",17,0,269
"Alec Burks","burksal01","1991-07-20","2012","SG",20,"UTA",59,0,939
"Alec Burks","burksal01","1991-07-20","2020","SF",28,"GSW",48,18,1390
"Alec Burks","burksal01","1991-07-20","2020","SG",28,"PHI",18,1,364
"Alec Burks","burksal01","1991-07-20","2014","SG",22,"UTA",78,12,2193
"Alec Burks","burksal01","1991-07-20","2016","SG",24,"UTA",31,3,797
"Alec Kessler","kesslal01","1967-01-13","1993","PF",26,"MIA",40,2,415
"Alec Kessler","kesslal01","1967-01-13","1992","PF",25,"MIA",77,4,1197
"Alec Kessler","kesslal01","1967-01-13","1991","C",24,"MIA",78,18,1259
"Alec Kessler","kesslal01","1967-01-13","1994","PF",27,"MIA",15,0,66
"Alec Peters","peteral01","1995-04-13","2018","PF",22,"PHO",20,0,225
"Aleksandar Djordjevic","djordal01","1967-08-26","1997","SG",29,"POR",8,0,61
"Aleksandar Radojević","radojal01","1976-08-08","2005","C",28,"UTA",12,6,128
"Aleksandar Radojević","radojal01","1976-08-08","2000","C",23,"TOR",3,0,24
"Aleksej Pokusevski","pokusal01","2001-12-26","2021","PF",19,"OKC",45,28,1090
"Alen Smailagić","smailal01","2000-08-18","2021","PF",20,"GSW",15,1,84
"Alen Smailagić","smailal01","2000-08-18","2020","C",19,"GSW",14,0,139
"Álex Abrines","abrinal01","1993-08-01","2017","SG",23,"OKC",68,6,1055
"Álex Abrines","abrinal01","1993-08-01","2018","SG",24,"OKC",75,8,1134
"Álex Abrines","abrinal01","1993-08-01","2019","SG",25,"OKC",31,2,588
"Alex Acker","ackeral01","1983-01-21","2006","SG",23,"DET",5,0,35
"Alex Acker","ackeral01","1983-01-21","2009","SG",26,"DET",7,0,20
"Alex Acker","ackeral01","1983-01-21","2009","SG",26,"LAC",18,0,179
"Alex Blackwell","blackal01","1970-06-27","1993","SF",22,"LAL",27,0,109
"Alex Caruso","carusal01","1994-02-28","2021","PG",26,"LAL",58,6,1216
"Alex Caruso","carusal01","1994-02-28","2018","PG",23,"LAL",37,7,562
"Alex Caruso","carusal01","1994-02-28","2019","PG",24,"LAL",25,4,531
"Alex Caruso","carusal01","1994-02-28","2020","PG",25,"LAL",64,2,1175
"Alex English","englial01","1954-01-05","1990","SF",36,"DEN",80,80,2211
"Alex English","englial01","1954-01-05","1991","SF",37,"DAL",79,26,1748
"Alex Garcia","garcial01","1980-03-04","2004","SG",23,"SAS",2,0,13
"Alex Garcia","garcial01","1980-03-04","2005","SG",24,"NOH",8,3,146
"Alex Kirk","kirkal01","1991-11-14","2015","C",23,"CLE",5,0,14
"Alex Len","lenal01","1993-06-16","2018","C",24,"PHO",69,13,1395
"Alex Len","lenal01","1993-06-16","2020","C",26,"ATL",40,9,745
"Alex Len","lenal01","1993-06-16","2014","C",20,"PHO",42,3,362
"Alex Len","lenal01","1993-06-16","2020","C",26,"SAC",15,3,225
"Alex Len","lenal01","1993-06-16","2019","C",25,"ATL",77,31,1544
"Alex Len","lenal01","1993-06-16","2021","C",27,"TOR",7,2,76
"Alex Len","lenal01","1993-06-16","2021","C",27,"WAS",57,40,903
"Alex Len","lenal01","1993-06-16","2017","C",23,"PHO",77,34,1560
"Alex Len","lenal01","1993-06-16","2015","C",21,"PHO",69,44,1518
"Alex Len","lenal01","1993-06-16","2016","C",22,"PHO",78,46,1821
"Alex Poythress","poythal01","1993-09-06","2019","PF",25,"ATL",21,1,305
"Alex Poythress","poythal01","1993-09-06","2018","PF",24,"IND",25,0,104
"Alex Poythress","poythal01","1993-09-06","2017","PF",23,"PHI",6,1,157
"Alex Scales","scaleal01","1978-07-03","2006","SG",27,"SAS",1,0,0
"Alex Stepheson","stephal01","1987-08-07","2016","PF",28,"LAC",4,0,12
"Alex Stepheson","stephal01","1987-08-07","2016","PF",28,"MEM",4,0,61
"Alex Stivrins","stivral01","1962-11-29","1993","PF",30,"ATL",5,0,15
"Alex Stivrins","stivral01","1962-11-29","1993","PF",30,"PHO",10,0,35
"Alex Stivrins","stivral01","1962-11-29","1993","SF",30,"MIL",3,0,25
"Alex Stivrins","stivral01","1962-11-29","1993","SF",30,"LAC",1,0,1
"Alexander Johnson","johnsal01","1983-02-08","2007","PF",23,"MEM",59,19,753
